At     631.83, Entity:    55,602.667,0, ServeBegin 
At     635.28, Entity:    60,635.277,0, CreateEnd (Arrival) 
At     637.39, Entity:    61,637.388,0, CreateEnd (Arrival) 
At     640.45, Entity:    62,640.45,0, CreateEnd (Arrival) 
At     640.86, Entity:    63,640.86,0, CreateEnd (Arrival) 
At     642.30, Entity:    64,642.305,0, CreateEnd (Arrival) 
At     642.76, Entity:    55,602.667,0, ServeEnd 
At     642.76, Entity:    56,604.801,0, ServeBegin 
At     650.91, Entity:    56,604.801,0, ServeEnd 
At     650.91, Entity:    57,606.751,0, ServeBegin 
At     654.34, Entity:    65,654.344,0, CreateEnd (Arrival) 
At     659.58, Entity:    66,659.581,0, CreateEnd (Arrival) 
At     660.51, Entity:    57,606.751,0, ServeEnd 
At     660.51, Entity:    58,609.051,0, ServeBegin 
At     661.55, Entity:    67,661.55,0, CreateEnd (Arrival) 
At     663.74, Entity:    68,663.736,0, CreateEnd (Arrival) 
At     672.17, Entity:    58,609.051,0, ServeEnd 
At     672.17, Entity:    59,631.538,0, ServeBegin 
At     680.34, Entity:    69,680.34,0, CreateEnd (Arrival) 
At     682.07, Entity:    59,631.538,0, ServeEnd 
At     682.07, Entity:    60,635.277,0, ServeBegin 
At     685.39, Entity:    70,685.39,0, CreateEnd (Arrival) 
At     692.47, Entity:    60,635.277,0, ServeEnd 
At     692.47, Entity:    61,637.388,0, ServeBegin 
At     694.24, Entity:    71,694.236,0, CreateEnd (Arrival) 
At     697.30, Entity:    72,697.298,0, CreateEnd (Arrival) 
At     700.86, Entity:    73,700.861,0, CreateEnd (Arrival) 
At     703.91, Entity:    61,637.388,0, ServeEnd 
At     703.91, Entity:    62,640.45,0, ServeBegin 
At     715.00, Entity:    62,640.45,0, ServeEnd 
At     715.00, Entity:    63,640.86,0, ServeBegin 
At     717.51, Entity:    74,717.511,0, CreateEnd (Arrival) 
At     720.57, Entity:    75,720.571,0, CreateEnd (Arrival) 
At     723.04, Entity:    63,640.86,0, ServeEnd 
At     723.04, Entity:    64,642.305,0, ServeBegin 
At     726.35, Entity:    76,726.355,0, CreateEnd (Arrival) 
At     728.85, Entity:    77,728.853,0, CreateEnd (Arrival) 
At     733.21, Entity:    64,642.305,0, ServeEnd 
At     733.21, Entity:    65,654.344,0, ServeBegin 
At     733.72, Entity:    78,733.721,0, CreateEnd (Arrival) 
At     741.46, Entity:    79,741.462,0, CreateEnd (Arrival) 
At     742.89, Entity:    80,742.887,0, CreateEnd (Arrival) 
At     743.28, Entity:    81,743.277,0, CreateEnd (Arrival) 
At     745.19, Entity:    65,654.344,0, ServeEnd 
At     745.19, Entity:    66,659.581,0, ServeBegin 
At     749.29, Entity:    82,749.29,0, CreateEnd (Arrival) 
At     757.02, Entity:    66,659.581,0, ServeEnd 
At     757.02, Entity:    67,661.55,0, ServeBegin 
